"","CellType","seurat_clusters","freq","RelFreq","Sample"
"3","myeloid",1,126,0.0541935483870968,"Old"
"6","myeloid",2,119,0.0511827956989247,"Old"
"4","myeloid",3,105,0.0451612903225806,"Old"
"5","myeloid",4,96,0.0412903225806452,"Old"
"9","myeloid",5,89,0.0382795698924731,"Old"
"11","myeloid",6,75,0.032258064516129,"Old"
"8","myeloid",7,74,0.0318279569892473,"Old"
"16","myeloid",8,67,0.0288172043010753,"Old"
"15","myeloid",9,65,0.0279569892473118,"Old"
"22","myeloid",10,61,0.0262365591397849,"Old"
"12","myeloid",11,50,0.021505376344086,"Old"
"21","myeloid",12,48,0.0206451612903226,"Old"
"25","myeloid",13,48,0.0206451612903226,"Old"
"17","myeloid",14,46,0.0197849462365591,"Old"
"26","myeloid",15,45,0.0193548387096774,"Old"
"27","myeloid",16,44,0.0189247311827957,"Old"
"28","myeloid",17,44,0.0189247311827957,"Old"
"20","myeloid",18,43,0.018494623655914,"Old"
"29","myeloid",19,43,0.018494623655914,"Old"
"19","myeloid",20,42,0.0180645161290323,"Old"
"1","myeloid",1,146,0.0373688251855644,"Young"
"2","myeloid",2,127,0.0325057588942923,"Young"
"31","myeloid",3,124,0.0317379063219862,"Young"
"41","myeloid",4,117,0.0299462503199386,"Young"
"51","myeloid",5,105,0.0268748400307141,"Young"
"7","myeloid",6,99,0.0253391348861019,"Young"
"61","myeloid",7,91,0.0232915280266189,"Young"
"81","myeloid",8,79,0.0202201177373944,"Young"
"10","myeloid",9,78,0.019964166879959,"Young"
"91","myeloid",10,76,0.0194522651650883,"Young"
"111","myeloid",11,76,0.0194522651650883,"Young"
"14","myeloid",12,69,0.0176606091630407,"Young"
"121","myeloid",13,67,0.01714870744817,"Young"
"161","myeloid",14,55,0.0140772971589455,"Young"
"201","myeloid",15,55,0.0140772971589455,"Young"
"13","myeloid",16,54,0.0138213463015101,"Young"
"151","myeloid",17,53,0.0135653954440747,"Young"
"18","myeloid",18,50,0.0127975428717686,"Young"
"171","myeloid",19,47,0.0120296902994625,"Young"
"251","myeloid",20,47,0.0120296902994625,"Young"
